Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Main Street, Parking","Parking Rates and Permit Fees, Main Street Lots 9,  10,  11 and 26,  Monthly Parking Permit",65,,Monthly,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates, Mid City, Parking, Hourly Parking","Parking Rates, Mid City Lots,  7,  8,  and 12,  Hourly Rate",1,,Hourly,,,,,Maximum: $14.00 per day,, Open for public parking 24/7.
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial, Garage, Garages, Stand Alone, Stand","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial Garage Structures - stand alone structures (10,000 sq ft)",542.42,,,0.8749,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permit,  Resident Permits,  Second permit",25,,Annual,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  Third permit",40,,Annual,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  Fourth permit or more",60,,Annual,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits ,  Resident Permits,  First permit,  6 months or fewer ",10,,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  Second permit,  6 months or fewer ",15,,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  Third permit,  6 months or fewer ",25,,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Resident Permits,  Fourth permit or more,  6 months or fewer ",35,,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>",
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Reservation, Field Rental, Filming, Sports Field Rental, Field Rental Fee, Marine Park, Clover Park, Airport Park, Memorial Park","Facility Filming Rental - Motion, Various Parks, Ballfield  With Lights",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Preferential Parking, Parking Permit, Resident Parking, Resident Permit, Parking","Parking Rates and Permit Fees, Preferential Parking Permits,  Visitor Permit, 6 months or fewer ",15,,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>","Applicant must provide provide proof of residency such as a current utility bill, cable bill, phone bill, credit card bill or bank statement showing your name and current Santa Monica residential address PLUS California Vehicle Registration reflecting your name and current Santa Monica residential address (not a PO Box or business address). Temporary registration is not acceptable. A &quot;Resident&quot; permit is valid only for the specific license plate number it is issued to and is not transferrable to any other car."
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, 1450 Ocean Avenue, Senior Recreation Center","Facility Filming Rental - Still, Senior Rec. Cntr, Auditorium",310,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Fire,Fire,CUPA,,"CUPA, above, tank, surcharge",CUPA - state aboveground tank administrative  surcharge ,,State set charge,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Rates,,"Taxicab Company, Taxi Franchise, Mileage Rates",Mileage Rates - each 37 seconds waiting/delay**,29.19,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, family swim ","Community Aquatics
 - Recreational and Fitness Swim
 - Family Use
 - Residents Family",8,,per day,,,,Residents-Family,"Family (up to 2 adults and 2 children, additional children admitted at swim center rate) Available Friday night, Saturday and Sunday.
  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Fire,Fire,New Construction ,,"commercial, improvement, tenant","Commercial Tenant Improvement: > 2,500 sf (per sf)",276.11,,,0.0276,per square footage,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Women's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Women's
 - Residents",400,,,,,,Residents - Women,Resident Teams (Registration Priority 1)  At least 60% of players must live in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates and Permit Fees, Preferential Parking Permits (Resident/Visitor),  Temporary 30-Day Permit,  New Resident only","Parking Rates and Permit Fees, Preferential Parking Permits,  Temporary 30-Day Permit,  New Resident with a lease only",,Free,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>","If you are a brand new resident moving into an unoccupied, vacant dwelling and have not yet received any bills, you may bring in your rental agreement or lease to receive a temporary parking permit which can be made valid for up to 30 days. Thereafter, you must provide a current utility bill, cable bill, phone bill, credit card bill or bank statement showing your name and current Santa Monica residential address to purchase permits."
Planning and Community Development,Transportation Engineering and Management,Permits,,"Parking Rates, Permit Fees, Preferential Parking, Parking Permit, Resident Parking, Resident Permit, Visitor Permit","Parking Rates and Permit Fees, Preferential Parking Permits,  One-Day Temporary Guest Permit,  Self print from website",,Free,,,,,,,"Only residents who live on a block with preferential parking restrictions are eligible to purchase a permit. Visit <a target=""_blank"">www.smgov.net/prefpark,/a&gt; for eligibility requirements.</a>","Applicant must provide proof of residency such as a current utility bill, cable bill, phone bill, credit card bill or bank statement showing your name and current Santa Monica residential address. We do not accept leases, rental agreements, or IDs as sufficient proof."
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental, Basketball Courts, Marine Park, Reed Park, court rental fees, basketball court rental fees","Sports Facilities Rental - Outdoor Basketball Court, Non-Resident, Community Groups/Individuals",14,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, On-Street Meters,  Downtown Zone ",2,,Hourly,,,,,Meters do not allow vehicles to park beyond the posted maximum time limit,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, On-Street Meters,  Beach Zone ",2,,Hourly,,,,,Meters do not allow vehicles to park beyond the posted maximum time limit,,
Planning and Community Development,Transportation Engineering and Management,Parking Fees,,"Parking Rates and Permit Fees, Annenberg Community Beach House Lot,  Parking","Parking Rates and Permit Fees, On-Street Meters,  Citywide Zone (all other on-street parking) ",1,,Hourly,,,,,Meters do not allow vehicles to park beyond the posted maximum time limit,,
